@relation yelp_academic_dataset_user

@attribute average_stars numeric
@attribute compliments.cool numeric
@attribute compliments.cute numeric
@attribute compliments.funny numeric
@attribute compliments.hot numeric
@attribute compliments.list numeric
@attribute compliments.more numeric
@attribute compliments.note numeric
@attribute compliments.photos numeric
@attribute compliments.plain numeric
@attribute compliments.profile numeric
@attribute compliments.writer numeric
@attribute elite numeric
@attribute fans numeric
@attribute friends numeric
@attribute review_count numeric
@attribute user_id string
@attribute votes.cool numeric
@attribute votes.funny numeric
@attribute votes.useful numeric
@attribute yelping_since string

@data
3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,qtrmBGNqCvupHMHL_bKFgQ,0,1,5,2012-02
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,MWhR9LvOdRbqtu1I_DRFBg,0,0,0,2011-12
5,2,0,1,0,0,2,0,1,0,0,1,0,1,1,22,0vscrHoajVRa1Yk19XWdwA,11,5,20,2010-09
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5Xh4Qc3rxhAQ_NcNtxLssQ,0,0,1,2012-01
4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4dJLZvpYRcjQ6qDR5i7WsA,1,2,6,2011-08
3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,e-G2NEjH2PCIl_Z6jbXIrA,21,16,70,2008-10
3.97,3,0,1,0,0,0,0,1,2,0,1,0,4,1,74,Yap-E13OdirLr9w_X6mcCA,39,33,72,2008-06
3.58,3,0,2,4,0,2,1,0,0,1,1,0,2,1,38,BwvlE7SguUtXP-InnJbjSw,18,23,28,2010-04
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,uygg55wWaEP0xTR7dHDg-g,0,0,0,2014-05
4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,as22TLsZn_SwVv4oCjxdMg,0,0,2,2013-11
3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9Tnds0bhPScGEBXbKn4HqQ,0,0,4,2012-12
5,2,0,0,0,0,0,1,0,0,0,0,0,0,1,4,3CQazRodHswFak5RKStX6g,1,0,3,2010-07
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-HIWRVIPcrjFyg1g0-jlnA,0,0,2,2011-09
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,kTpGfnUhc2EBWQCB14Ggkw,1,4,2,2013-07
2.57,0,0,0,0,0,1,0,0,0,0,1,0,0,1,30,pmAPF4XwHv4U7DKvPsGt4Q,12,19,76,2011-04
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,SfwiccRY_tqPYEHvGiCeHw,0,0,1,2010-07
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,vpQhhoQzLQZLXuChda3y1Q,2,3,16,2008-10
2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,MtX0WZ4bqMfFuYvtupgRqg,5,1,10,2010-01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,63FT2RenrN1CKIctDkWgHw,0,0,1,2012-06
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,GVg3PFwhmjyZUoSnLQQkag,0,0,1,2013-08
3.78,1,0,0,1,0,1,0,0,0,0,0,0,2,1,9,uUPd830NkybIQooLQE6T9g,6,4,7,2012-02
4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,am5rvg0zEadPAzER8J4XcQ,2,0,3,2011-04
3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,MHT5ruxcyEDUfPQ8L8tZCw,0,2,2,2012-06
2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,QvpL9EV8Jzw0HLAjYDB4mA,0,3,25,2007-10
4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,TUf5iMrBPXb13sunWMdyeQ,0,0,0,2013-01
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tEco7_KWoijQFnrS357iGA,0,0,1,2011-10
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,NcbRe4HaPmsx2L1vOW6xFA,1,5,13,2011-04
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hvTJPwy4SbaZZcfU2LUrmw,0,0,0,2013-05
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,G61lgCCHQEeaxOKH-OTkew,0,1,1,2011-10
3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6TfmWlsZ1ppASFd4n2C4EA,2,1,7,2009-04
4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,x1V-wKuW0K9EFojhn_YhhQ,4,1,11,2011-11
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,yh1Mp4Fa_wFPiW6a95vI4g,0,0,0,2012-11
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,J-w6QhUf2MB_6dqOT89vZA,2,3,4,2012-06
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,H-oZ1GOOY4rgrNViSUvcXQ,1,4,5,2010-07
3.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,F5aPgC1idi6iBC8s_n02Sg,2,4,9,2009-04
3.6,2,0,0,0,0,1,0,0,1,0,0,0,0,1,58,GFvQzTkbDtaeqAyjzxyCGA,16,22,90,2008-02
3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,z4aMa5m5gDI5nQFH9fA4fA,7,3,5,2008-04
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,BAnl3AgL3HoL7Q0yG-aEKQ,1,0,1,2012-04
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3cidP7uMwssSPvsjRZMdpA,0,0,0,2013-10
3.71,1,0,0,2,0,0,0,0,0,0,0,1,0,1,99,FmwWPEQMcxCGI5K1yqAXaA,16,9,57,2011-09
4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,moLtbTzG3iUDUx4m9R8ZYQ,3,3,3,2013-09
3.55,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31,UdB3ftY6GFXWGboQyEjQ0w,8,6,56,2010-02
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1SdIMHXSg6zUVgMirddhpg,0,0,1,2011-11
3.12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18,qMQ1OqVwUijAtQG2jbJQDw,5,3,19,2011-04
3.62,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,pa1EeFleg_3-2InTTWh5mQ,1,0,27,2011-04
3.61,17,0,2,17,0,1,2,0,9,0,2,0,0,1,66,dU4e8T9VW-Np6LHkWFQLrQ,51,55,67,2008-11
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,zEovLNK7iASgGYdqnlzZfA,0,0,4,2013-05
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,lj4gPAcF_lYmsbhnH7VtxA,2,1,4,2012-09
3.43,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,y_U-hVkq7gNUsAjA9RBqbA,7,2,7,2013-10
3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,-FO3aw2m1QnvQP3w22BqPQ,17,14,49,2012-07
4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,qJtYASx7hcrhBxsR_XuNew,1,0,1,2011-03
3.65,7,0,1,1,0,0,1,1,1,2,6,0,1,1,219,-ZOyUKJ8d30debwzj1FN7g,37,43,121,2010-03
4.56,0,0,0,1,0,2,1,0,0,0,0,0,1,1,32,_34ajo82FKow9KoAwQsjnA,10,11,29,2011-01
3.52,17,1,10,7,0,0,28,0,6,0,11,1,7,1,321,WNCNmynlYmIkz2VeTlfVRw,189,195,370,2009-12
3.79,0,0,0,0,0,0,1,0,3,0,0,0,0,0,44,RadW7vAeQ8MUQSrCyLYkRw,9,4,47,2007-08
4.2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,psbAC-0NyBc1fugHpAyxQw,4,6,15,2010-11
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Wan0DHiZXViJzL-YEepXYg,0,0,0,2011-10
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,g5RAzjqRBci_OEZ2nTINDA,0,0,1,2014-01
